"Match","Date","Radiant","Dire","Winner","Round","Game","Time","Score"
"1666148259","07/27/15","MVP Phoenix","NaVi","RADIANT","Group Stage","1","42.07","41 - 27"
"1666125998","07/27/15","Nb","VP 2","DIRE","Group Stage","1","35.53","21 - 37"
"1666122929","07/27/15","Fnatic.MY","iG","DIRE","Group Stage","1","42.15","3 - 26"
"1666088527","07/27/15","C9","NaVi","DIRE","Group Stage","2","25.40","13 - 34"
"1666048848","07/27/15","Secret","iG","RADIANT","Group Stage","2","29.40","30 - 13"
"1666045478","07/27/15","coL 2","LGD.cn","DIRE","Group Stage","2","26.25","5 - 38"
"1665990348","07/27/15","NaVi","C9","DIRE","Group Stage","1","61.68","40 - 37"
"1665986855","07/27/15","LGD.cn","coL 2","RADIANT","Group Stage","1","25.62","27 - 4"
"1665972746","07/27/15","iG","Secret","DIRE","Group Stage","1","31.02","12 - 28"
"1665829829","07/27/15","C9","LGD.cn","DIRE","Group Stage","2","66.67","16 - 43"
"1665826280","07/27/15","coL 2","MVP Phoenix","RADIANT","Group Stage","2","30.65","42 - 20"
"1665822701","07/27/15","Fnatic.MY","Secret","RADIANT","Group Stage","2","28.62","30 - 3"
"1665700254","07/27/15","LGD.cn","C9","RADIANT","Group Stage","1","70.08","32 - 36"
"1665686446","07/27/15","Secret","Fnatic.MY","RADIANT","Group Stage","1","39.10","27 - 15"
"1665685543","07/27/15","MVP Phoenix","coL 2","DIRE","Group Stage","1","48.65","27 - 33"
